name,diameter,coordinates,approval year,eponym,link,cleaned_links,ethnicity
Judah Ha-Levi,10°47′N 108°01′W﻿ / ﻿10.79°N 108.01°W﻿ / 10.79; -108.01﻿ (Judah Ha-Levi),85.0,1976.0,"Yehuda Halevi, Spanish-Jewish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2853,https://planetarynames.wr.usgs.gov/Feature/2853,Jewish Origin Judah
Kandinsky,87°53′N 78°47′E﻿ / ﻿87.89°N 78.78°E﻿ / 87.89; 78.78﻿ (Kandinsky),60.0,2012.0,"Wassily Kandinsky, Russian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15022,https://planetarynames.wr.usgs.gov/Feature/15022,Russia Origin Wassily
Karsh,35°29′S 78°51′E﻿ / ﻿35.49°S 78.85°E﻿ / -35.49; 78.85﻿ (Karsh),58.0,2015.0,"Yousuf Karsh, Armenian-Canadian photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15324,https://planetarynames.wr.usgs.gov/Feature/15324,Canada Origin Yousuf
Kālidāsā,18°13′S 179°49′W﻿ / ﻿18.21°S 179.82°W﻿ / -18.21; -179.82﻿ (Kālidāsā),160.0,1976.0,"Kālidāsa, Sanskrit writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3180,https://planetarynames.wr.usgs.gov/Feature/3180,India Origin Indian
Keats,70°19′S 156°39′W﻿ / ﻿70.31°S 156.65°W﻿ / -70.31; -156.65﻿ (Keats),107.85,1976.0,"John Keats, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2975,https://planetarynames.wr.usgs.gov/Feature/2975,England Origin John
Kenkō,21°21′S 16°10′W﻿ / ﻿21.35°S 16.16°W﻿ / -21.35; -16.16﻿ (Kenkō),105.0,1976.0,"Yoshida Kenkō, Japanese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/2987,https://planetarynames.wr.usgs.gov/Feature/2987,Japan Origin Yashida
Kerouac,25°13′N 129°06′E﻿ / ﻿25.21°N 129.1°E﻿ / 25.21; 129.1﻿ (Kerouac),110.0,2015.0,"Jack Kerouac, American writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15416,https://planetarynames.wr.usgs.gov/Feature/15416,United States Origin
Kertész,27°22′N 146°05′E﻿ / ﻿27.37°N 146.08°E﻿ / 27.37; 146.08﻿ (Kertész),32.0,2008.0,"André Kertész, Hungarian photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14398,https://planetarynames.wr.usgs.gov/Feature/14398,American Origin André
Khansa,58°57′S 51°56′W﻿ / ﻿58.95°S 51.94°W﻿ / -58.95; -51.94﻿ (Khansa),113.0,1976.0,"Al-Khansa, Arabic poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3005,https://planetarynames.wr.usgs.gov/Feature/3005,Arabian Origin Al
Kipling,19°22′S 72°01′E﻿ / ﻿19.37°S 72.02°E﻿ / -19.37; 72.02﻿ (Kipling),164.0,2010.0,"Rudyard Kipling, English author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14646,https://planetarynames.wr.usgs.gov/Feature/14646,England Origin Rudyard
Kirby,82°58′N 151°19′W﻿ / ﻿82.96°N 151.32°W﻿ / 82.96; -151.32﻿ (Kipling),31.0,2019.0,"Jack Kirby, American illustrator",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15858,https://planetarynames.wr.usgs.gov/Feature/15858,United States Origin
Kobro,82°10′S 81°13′E﻿ / ﻿82.16°S 81.22°E﻿ / -82.16; 81.22﻿ (Kobro),54.0,2012.0,"Katarzyna Kobro, Polish sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15082,https://planetarynames.wr.usgs.gov/Feature/15082,Poland Origin Katarzyna
Kofi,56°45′N 117°52′E﻿ / ﻿56.75°N 117.87°E﻿ / 56.75; 117.87﻿ (Kofi),136.0,2012.0,"Vincent Kofi, Ghanaian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14964,https://planetarynames.wr.usgs.gov/Feature/14964,Ghana Origin Vincent
Komeda,82°44′S 90°28′E﻿ / ﻿82.74°S 90.47°E﻿ / -82.74; 90.47﻿ (Komeda),54.0,2012.0,"Krzysztof Komeda, Polish composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15083,https://planetarynames.wr.usgs.gov/Feature/15083,Poland Origin Krzysztof
Kōshō,59°56′N 139°52′W﻿ / ﻿59.93°N 139.87°W﻿ / 59.93; -139.87﻿ (Kōshō),64.0,1985.0,"Kōshō, Japanese sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3181,https://planetarynames.wr.usgs.gov/Feature/3181,Japan Origin Japanese
Kuan Han-Chʻing,29°26′N 53°40′W﻿ / ﻿29.44°N 53.67°W﻿ / 29.44; -53.67﻿ (Kuan Han-Chʻing),143.0,1979.0,"Guan Hanqing, Chinese playwright",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3131,https://planetarynames.wr.usgs.gov/Feature/3131,China Origin Chinese
Kuiper,11°20′S 31°19′W﻿ / ﻿11.34°S 31.32°W﻿ / -11.34; -31.32﻿ (Kuiper),62.0,1976.0,"Gerard Kuiper, American astronomer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3140,https://planetarynames.wr.usgs.gov/Feature/3140,American Origin Gerard
Kulthum,50°43′N 93°32′E﻿ / ﻿50.72°N 93.53°E﻿ / 50.72; 93.53﻿ (Kulthum),31.0,2015.0,"Umm Kulthum, Egyptian singer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15322,https://planetarynames.wr.usgs.gov/Feature/15322,Egypt Origin Umm
Kunisada,1°22′N 113°01′E﻿ / ﻿1.37°N 113.02°E﻿ / 1.37; 113.02﻿ (Kunisada),241.45,2009.0,"Utagawa Kunisada, Japanese woodblock printmaker",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14585,https://planetarynames.wr.usgs.gov/Feature/14585,Japan Origin Utagawa
Kuniyoshi,57°52′S 37°29′W﻿ / ﻿57.87°S 37.49°W﻿ / -57.87; -37.49﻿ (Kuniyoshi),27.0,2014.0,"Utagawa Kuniyoshi, Japanese painter and printmaker",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15237,https://planetarynames.wr.usgs.gov/Feature/15237,Japan Origin Utagawa
Kurosawa,52°26′S 21°29′W﻿ / ﻿52.44°S 21.49°W﻿ / -52.44; -21.49﻿ (Kurosawa),152.0,1976.0,"Kinko Kurosawa, Japanese musician",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3169,https://planetarynames.wr.usgs.gov/Feature/3169,Japan Origin Kinko
Kyōsai,25°09′N 4°52′E﻿ / ﻿25.15°N 4.86°E﻿ / 25.15; 4.86﻿ (Kyōsai),39.0,2012.0,"Kawanabe Kyōsai, Japanese artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15084,https://planetarynames.wr.usgs.gov/Feature/15084,Japan Origin Kawanabe
Lange,6°17′N 100°28′E﻿ / ﻿6.28°N 100.47°E﻿ / 6.28; 100.47﻿ (Lange),176.23,2009.0,"Dorothea Lange, American photographer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14586,https://planetarynames.wr.usgs.gov/Feature/14586,American Origin Dorothea
Larrocha,43°17′N 69°50′W﻿ / ﻿43.29°N 69.83°W﻿ / 43.29; -69.83﻿ (Larrocha),196.0,2013.0,"Alicia de Larrocha, Spanish pianist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15142,https://planetarynames.wr.usgs.gov/Feature/15142,Spain Origin Alicia
Laxness,83°16′N 50°02′W﻿ / ﻿83.27°N 50.04°W﻿ / 83.27; -50.04﻿ (Laxness),25.89,2013.0,"Halldór Laxness, Icelandic writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15143,https://planetarynames.wr.usgs.gov/Feature/15143,Iceland Origin Halldór
Le Guin,18°46′S 102°44′W﻿ / ﻿18.76°S 102.74°W﻿ / -18.76; -102.74﻿ (Le Guin),61.0,2024.0,"Ursula K. Le Guin, American author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16354,https://planetarynames.wr.usgs.gov/Feature/16354,United States Origin
L'Engle,86°38′S 69°37′E﻿ / ﻿86.63°S 69.62°E﻿ / -86.63; 69.62﻿ (L'Engle),62.0,2013.0,"Madeleine L'Engle, American author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15101,https://planetarynames.wr.usgs.gov/Feature/15101,United States Origin
Lennon,36°25′S 41°11′E﻿ / ﻿36.41°S 41.18°E﻿ / -36.41; 41.18﻿ (Lennon),95.0,2013.0,"John Lennon, former Beatles member[9][10]",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15192,https://planetarynames.wr.usgs.gov/Feature/15192,England Origin John
Lennon–Picasso Basin,17°25′S 44°58′E﻿ / ﻿17.42°S 44.96°E﻿ / -17.42; 44.96﻿ (Lennon),1450.0,2018.0,John Lennon and Pablo Picasso,https://en.wikipedia.org#cite_note-12,#cite_note-12,
Leopardi,72°46′S 175°10′E﻿ / ﻿72.76°S 175.16°E﻿ / -72.76; 175.16﻿ (Leopardi),71.45,1976.0,"Giacomo Leopardi, Italian writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3353,https://planetarynames.wr.usgs.gov/Feature/3353,Italy Origin G
Lermontov,15°14′N 48°56′W﻿ / ﻿15.24°N 48.94°W﻿ / 15.24; -48.94﻿ (Lermontov),166.0,1976.0,"Mikhail Lermontov, Russian writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/3356,https://planetarynames.wr.usgs.gov/Feature/3356,Russia Origin Mikhail
