name,diameter,coordinates,approval year,gender, famous_for,ethnicity,human_name,,continent
Savage,8°35′S 93°25′E﻿ / ﻿8.59°S 93.41°E﻿ / -8.59; 93.41﻿ (Savage),93,2013,Female,sculptor,United States ,Augusta Savage,Augusta Savage,North America
Varma,80°02′N 18°58′W﻿ / ﻿80.04°N 18.97°W﻿ / 80.04; -18.97﻿ (Varma),30,2013,Male,painter,India ,Raja Ravi Varma,Raja Ravi Varma,Asia
Vieira da Silva,1°32′N 123°25′W﻿ / ﻿1.54°N 123.41°W﻿ / 1.54; -123.41﻿ (Vieira da Silva),274,2013,Female,painter,France ,Maria Helena Vieira da Silva,Maria Helena Vieira da Silva,Europe
Aneirin,27°28′S 2°41′W﻿ / ﻿27.47°S 2.68°W﻿ / -27.47; -2.68﻿ (Aneirin),467,2014,Male,poet,Wales ,Aneirin,Aneirin,Europe
Hafiz,19°30′N 79°34′E﻿ / ﻿19.5°N 79.56°E﻿ / 19.5; 79.56﻿ (Hafiz),280,2014,Male,poet,Iran,Hafiz of Shiraz,Hafiz of Shiraz,Asia
Kuniyoshi,57°52′S 37°29′W﻿ / ﻿57.87°S 37.49°W﻿ / -57.87; -37.49﻿ (Kuniyoshi),27,2014,Male,painter,Japan ,Utagawa Kuniyoshi,Utagawa Kuniyoshi,Asia
Sanai,13°22′S 6°59′W﻿ / ﻿13.37°S 6.99°W﻿ / -13.37; -6.99﻿ (Sanai),490,2014,Male,poet,Iran,Sanai,Sanai,Asia
Akutagawa,48°15′N 141°05′W﻿ / ﻿48.25°N 141.09°W﻿ / 48.25; -141.09﻿ (Akutagawa),106,2015,Male,writer,Japan ,Ryūnosuke Akutagawa,Ryūnosuke Akutagawa,Asia
Bagryana,3°53′S 283°44′W﻿ / ﻿3.89°S 283.73°W﻿ / -3.89; -283.73﻿ (Bagryana),101,2015,Female,poet,Bulgaria ,Elisaveta Bagryana,Elisaveta Bagryana,Europe
Baranauskas,50°44′N 39°46′W﻿ / ﻿50.73°N 39.76°W﻿ / 50.73; -39.76﻿ (Baranauskas),36,2015,Male,poet,Lithuania ,Antanas Baranauskas,Antanas Baranauskas,Europe
Boznańska,59°38′N 40°45′W﻿ / ﻿59.64°N 40.75°W﻿ / 59.64; -40.75﻿ (Boznańska),72,2015,Female,painter,Poland ,Olga Boznańska,Olga Boznańska,Europe
Brooks,45°13′S 168°01′W﻿ / ﻿45.22°S 168.02°W﻿ / -45.22; -168.02﻿ (Brooks),34,2015,Female,poet,United States,Gwendolyn Brooks,Gwendolyn Brooks,North America
Burke,85°55′N 171°34′W﻿ / ﻿85.91°N 171.56°W﻿ / 85.91; -171.56﻿ (Burke),28.5,2015,Female,actress,United States,Billie Burke,Billie Burke,North America
