Name,Diameter,Coordinates,Approval Year,Eponym,Link
Berry,70°34′N 247°16′W﻿ / ﻿70.57°N 247.27°W﻿ / 70.57; -247.27﻿ (Berry),25,2020,"Chuck Berry, American singer and songwriter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15937
Bilokur,0°47′S 108°20′W﻿ / ﻿0.79°S 108.33°W﻿ / -0.79; -108.33﻿ (Bilokur),67,2024,"Kateryna Bilokur, Ukrainian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/16353
Bjornson,73°07′N 113°59′W﻿ / ﻿73.11°N 113.99°W﻿ / 73.11; -113.99﻿ (Bjornson),75.93,1985,"Bjørnstjerne Bjørnson, Norwegian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/761
Boccaccio,80°59′S 23°01′W﻿ / ﻿80.99°S 23.01°W﻿ / -80.99; -23.01﻿ (Boccaccio),151.95,1976,"Giovanni Boccaccio, Italian writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/788
Boethius,0°59′S 73°38′W﻿ / ﻿0.98°S 73.64°W﻿ / -0.98; -73.64﻿ (Boethius),114,1976,"Anicius Manlius Severinus Boethius, Roman philosopher",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/794
Botticelli,63°38′N 112°21′W﻿ / ﻿63.63°N 112.35°W﻿ / 63.63; -112.35﻿ (Botticelli),136.35,1979,"Sandro Botticelli, Italian artist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/838
Boznańska,59°38′N 40°45′W﻿ / ﻿59.64°N 40.75°W﻿ / 59.64; -40.75﻿ (Boznańska),72,2015,"Olga Boznańska, Polish painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15389
Brahms,58°19′N 177°22′W﻿ / ﻿58.32°N 177.36°W﻿ / 58.32; -177.36﻿ (Brahms),100,1979,"Johannes Brahms, German composer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/859
Bramante,47°14′S 61°33′W﻿ / ﻿47.23°S 61.55°W﻿ / -47.23; -61.55﻿ (Bramante),156,1976,"Donato Bramante, Italian architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/860
Brontë,38°23′N 127°04′W﻿ / ﻿38.39°N 127.06°W﻿ / 38.39; -127.06﻿ (Brontë),68,1976,"The Brontë family, English writers and artists",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/890
Brooks,45°13′S 168°01′W﻿ / ﻿45.22°S 168.02°W﻿ / -45.22; -168.02﻿ (Brooks),34,2015,"Gwendolyn Brooks, American poet and novelist",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15390
Bruegel,49°44′N 109°28′W﻿ / ﻿49.73°N 109.46°W﻿ / 49.73; -109.46﻿ (Bruegel),72,1985,"Pieter Bruegel the Elder, Flemish painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/898
Brunelleschi,8°56′S 22°31′W﻿ / ﻿8.94°S 22.51°W﻿ / -8.94; -22.51﻿ (Brunelleschi),128.57,1976,"Filippo Brunelleschi, Italian architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/899
Bunin,84°28′N 141°46′W﻿ / ﻿84.47°N 141.76°W﻿ / 84.47; -141.76﻿ (Bunin),37,2019,"Ivan Bunin, Russian author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15859
Burke,85°55′N 171°34′W﻿ / ﻿85.91°N 171.56°W﻿ / 85.91; -171.56﻿ (Burke),28.5,2015,"Billie Burke, American actress",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15433
Burns,54°06′N 117°22′W﻿ / ﻿54.1°N 117.37°W﻿ / 54.1; -117.37﻿ (Burns),43,1985,"Robert Burns, Scottish poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/926
Byron,8°26′S 33°00′W﻿ / ﻿8.44°S 33°W﻿ / -8.44; -33﻿ (Byron),106.58,1976,"Lord Byron, English poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/944
Calder,3°31′N 12°45′E﻿ / ﻿3.51°N 12.75°E﻿ / 3.51; 12.75﻿ (Calder),24,2013,"Alexander Calder, American sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15187
Callicrates,66°31′S 30°22′W﻿ / ﻿66.51°S 30.37°W﻿ / -66.51; -30.37﻿ (Callicrates),68,1976,"Kallicrates, Ancient Greek architect",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/976
Calvino,3°59′S 56°02′W﻿ / ﻿3.99°S 56.03°W﻿ / -3.99; -56.03﻿ (Calvino),67,2009,"Italo Calvino, Italian writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/14577
Camões,71°25′S 68°23′W﻿ / ﻿71.42°S 68.39°W﻿ / -71.42; -68.39﻿ (Camões),70,1976,"Luís de Camões, Portuguese writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/994
Canova,25°36′N 3°43′W﻿ / ﻿25.6°N 3.71°W﻿ / 25.6; -3.71﻿ (Canova),46,2018,"Antonio Canova, Italian sculptor",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15772
Capote,21°06′S 72°25′E﻿ / ﻿21.1°S 72.41°E﻿ / -21.1; 72.41﻿ (Capote),88,2013,"Truman Capote, American Author",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15188
Caravaggio,3°11′N 87°14′E﻿ / ﻿3.18°N 87.24°E﻿ / 3.18; 87.24﻿ (Caravaggio),185,2013,"Michelangelo Merisi Caravaggio, Italian painter",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15175
Carducci,36°32′S 90°23′W﻿ / ﻿36.54°S 90.39°W﻿ / -36.54; -90.39﻿ (Carducci),108.19,1976,"Giosuè Carducci, Italian poet",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/1017
Carleton,52°12′S 306°36′W﻿ / ﻿52.2°S 306.6°W﻿ / -52.2; -306.6﻿ (Carleton),177,2018,"William Carleton, Irish writer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15774
Carolan,83°53′N 31°46′E﻿ / ﻿83.88°N 31.77°E﻿ / 83.88; 31.77﻿ (Carolan),24.34,2015,"Turlough Carolan, Irish composer and performer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15321
Caruso,2°20′S 76°22′W﻿ / ﻿2.33°S 76.36°W﻿ / -2.33; -76.36﻿ (Caruso),31,2013,"Enrico Caruso, Italian singer",https://en.wikipedia.orghttps://planetarynames.wr.usgs.gov/Feature/15189
